C:/Users/NTtest/Documents/automation_dev/spirent_ui/lib/NT_5006_1000M/NT_5006_1000M-0002-txstreamresults.csv for periodic results

================== Periodic Results: TxStreamResults Record #1
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //1/1",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //1/2",0,0,0,0,0,0,0,
txstreamresults3,"",port3,"Port //1/3",0,0,0,0,0,0,0,
txstreamresults4,"",port4,"Port //1/4",0,0,0,0,0,0,0,
txstreamresults5,"",port5,"Port //1/5",0,0,0,0,0,0,0,
txstreamresults6,"",port6,"Port //1/6",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #2
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //1/1",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //1/2",0,0,0,0,0,0,0,
txstreamresults3,"",port3,"Port //1/3",0,0,0,0,0,0,0,
txstreamresults4,"",port4,"Port //1/4",0,0,0,0,0,0,0,
txstreamresults5,"",port5,"Port //1/5",0,0,0,0,0,0,0,
txstreamresults6,"",port6,"Port //1/6",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #3
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //1/1",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //1/2",0,0,0,0,0,0,0,
txstreamresults3,"",port3,"Port //1/3",0,0,0,0,0,0,0,
txstreamresults4,"",port4,"Port //1/4",0,0,0,0,0,0,0,
txstreamresults5,"",port5,"Port //1/5",0,0,0,0,0,0,0,
txstreamresults6,"",port6,"Port //1/6",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #4
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //1/1",4,0,0,4,2688,0,2048,
txstreamresults2,"",port2,"Port //1/2",4,4,1856,4,2688,2441,2048,
txstreamresults3,"",port3,"Port //1/3",4,3,1512,4,2688,1984,2048,
txstreamresults4,"",port4,"Port //1/4",4,3,1288,4,2688,1693,2048,
txstreamresults5,"",port5,"Port //1/5",4,3,1288,4,2688,1690,2048,
txstreamresults6,"",port6,"Port //1/6",4,0,0,4,2688,0,2048,

================== Periodic Results: TxStreamResults Record #5
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //1/1",4,0,0,4,2688,0,2048,
txstreamresults2,"",port2,"Port //1/2",4,0,0,4,2688,0,2048,
txstreamresults3,"",port3,"Port //1/3",4,0,0,4,2688,0,2048,
txstreamresults4,"",port4,"Port //1/4",4,0,0,4,2688,0,2048,
txstreamresults5,"",port5,"Port //1/5",4,0,0,4,2688,0,2048,
txstreamresults6,"",port6,"Port //1/6",4,0,0,4,2688,0,2048,

================== Periodic Results: TxStreamResults Record #6
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //1/1",4,0,0,4,2688,0,2048,
txstreamresults2,"",port2,"Port //1/2",4,0,0,4,2688,0,2048,
txstreamresults3,"",port3,"Port //1/3",4,0,0,4,2688,0,2048,
txstreamresults4,"",port4,"Port //1/4",4,0,0,4,2688,0,2048,
txstreamresults5,"",port5,"Port //1/5",4,0,0,4,2688,0,2048,
txstreamresults6,"",port6,"Port //1/6",4,0,0,4,2688,0,2048,
txstreamresults7,"",port1,"Port //1/1",0,0,0,0,0,0,0,
txstreamresults8,"",port2,"Port //1/2",0,0,0,0,0,0,0,
txstreamresults9,"",port3,"Port //1/3",0,0,0,0,0,0,0,
txstreamresults10,"",port4,"Port //1/4",0,0,0,0,0,0,0,
txstreamresults11,"",port5,"Port //1/5",0,0,0,0,0,0,0,
txstreamresults12,"",port6,"Port //1/6",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #7
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //1/1",4,0,0,4,2688,0,2048,
txstreamresults2,"",port2,"Port //1/2",4,0,0,4,2688,0,2048,
txstreamresults3,"",port3,"Port //1/3",4,0,0,4,2688,0,2048,
txstreamresults4,"",port4,"Port //1/4",4,0,0,4,2688,0,2048,
txstreamresults5,"",port5,"Port //1/5",4,0,0,4,2688,0,2048,
txstreamresults6,"",port6,"Port //1/6",4,0,0,4,2688,0,2048,

================== Periodic Results: TxStreamResults Record #8
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //1/1",4,0,0,4,2688,0,2048,
